Position	TITOLO	ANNO	LINK	FORMATO	LOCANDINA	LINGUA	GENERE	TRAMA	DURATA	INFO
28	Annabelle: Creation	2017	http://cdnvod.setv.ca/hls/Annabelle.2.Creation.2017.720p.BluRay.H264.AAC-RARBG.mp4/master.m3u8	m3u8	https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.imtv.it%2Ffilm%2Fannabelle-2-creation%2F&psig=AOvVaw2cBWKHNI842DM74MTQb5Qk&ust=1628277796703000&source=images&cd=vfe&ved=0CAsQjRxqFwoTCKibz8_NmvICFQAAAAAdAAAAABAI	Inglese	Horror	Many years after the death of their daughter, a toymaker and his wife welcome a nun and six girls from an orphanage into their home. But Annabelle, a doll possessed by a demon, begins to attack them. 	1h50m	
29	Apache Blood	1975	https://archive.org/download/ApacheBlood/Apache_Blood_256kb.mp4	mp4	https://m.media-amazon.com/images/M/MV5BODdhYjgxMDctMTk3ZS00OTNmLWFjMWQtMTU1OTgwNDM4YmY0XkEyXkFqcGdeQXVyMTQwMzQ1MA@@._V1_FMjpg_UX1000_.jpg	Inglese	Western	In the western desert a young brave avenges the deaths of his tribe in a massacre by the US Army.	1h26m	
30	Arnold	1973	https://archive.org/download/Arnold1973FullMovie/Arnold%20(1973)%20[Full%20Movie].mp4	mp4	https://movieplayer.net-cdn.it/t/images/2012/07/27/arnold-la-locandina-del-film-247147_jpg_750x400_crop_q85.jpg	Inglese	Comedy	Arnold (1973) Upon his death, Arnold marries his lover, Karen, in spite of his widow, and leaves deathtraps accompanied by audiotapes and his preserved and aculate corpse for those who cared only for his money.	1h34m	
31	Austin Powers: International Man of Mystery	1997	http://www.deadlyblogger.com/NewRelease/austin1.mp4	mp4	https://m.media-amazon.com/images/M/MV5BMWUwMmEwY2QtMGZmZC00ZDVjLTg1NDgtMmI0MmZmYmM4NGIxXkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_.jpg	Inglese	Thriller/Action/Comedy	Thirty years later, in 1997, Dr. Evil returns to discover his henchman Number 2 has developed Virtucon, the legitimate front of Evil's empire, into a multibillion-dollar enterprise. Uninterested in business, Dr. Evil conspires to steal nuclear weapons and hold the world hostage for $1 million.	1h34m	
32	Austin Powers: The Spy Who Shagged Me	1999	http://www.deadlyblogger.com/NewRelease/austin2.mp4	mp4	https://flxt.tmsimg.com/assets/p23153_p_v10_aa.jpg	Inglese	Comedy/Action/Adventure	During the honeymoon, secret agent Austin Powers discovers that Dr. Male has taken a journey back in time to retrieve the mojo, an aphrodisiac herb potion. With Felicity's help, the man returns to the 1960s.	1h35m	
33	Bad Boys	1995	http://www.deadlyblogger.com/NewRelease/badboys1.mp4	mp4	https://pad.mymovies.it/filmclub/2015/06/058/locandina.jpg	Inglese	Action/Comedy/Crime	Two hip detectives protect a witness to a murder while investigating a case of stolen heroin from the evidence storage room from their police precinct.	1h59m	
34	Bad boys 2	2003	http://www.deadlyblogger.com/NewRelease/badboys2.mp4	mp4	https://pad.mymovies.it/filmclub/2003/10/016/locandina.jpg	Inglese	action/comedy/thriller	Eight years after the events of the first film, Miami Police Department (MPD) narcotic investigators Marcus Burnett and Mike Lowrey are studying the flow of MDMA into the city, leading them to a meeting with the KKK and drug discontinuation. The subsequent raid failed due to weak radio signals, and in the gunfight in which several Klan members are killed or injured, Mike accidentally shoots Marcus in the buttocks. The MPD arrests the surviving members of the Klan, who turn out to be mere small buyers and not distributors of ecstasy.	2h35m	
35	Bad Grandpa	2013	http://www.deadlyblogger.com/NewRelease/badgrandpa2013.mp4	mp4	https://nientepopcorn.b-cdn.net/film-img/208134-locandina-big.jpg	Inglese	Comedy	Irving Zisman, an eighty-six year old grandfather, travels through America with his grandson to allow him to meet his real father. Together they create a series of crazy and self-injurious gags.	1h42m	
36	Baller Blockin'	2000	http://www.deadlyblogger.com/NewRelease/blockin.mp4	mp4	https://image.tmdb.org/t/p/w500/lfv1TsOzdJoRTE6h2ne9fIHKZXo.jpg	Inglese	Drama	Showing the life(dramatic) of the hot boys or cash money millionaires and how it goes down in the magnolia,dirty cops,drug life and shootouts with a twist of reality	1h	
37	Battle For The Planet Of The Apes	1973	http://www.deadlyblogger.com/NewRelease/apes5.mp4	mp4	https://m.media-amazon.com/images/I/71nAFKyWOvL._SL1500_.jpg	Inglese	Action/Sci-Fi	Ten years after a worldwide series of ape revolutions and a brutal nuclear war among humans, Caesar must protect survivors of both species from an insidious human cult and a militant ape faction alike.	1h33m	
38	Battle Of The Year	2013	http://www.deadlyblogger.com/NewRelease/battleyear2013.html	mp4	https://upload.wikimedia.org/wikipedia/en/e/ef/Battle_of_the_Year_2013.jpg	Inglese	Music/Drama	Battle of the Year - Victory is at stake is a 2013 film directed by Benson Lee. The film is based on the documentary Planet B-Boy, winner of the Lee Award in 2008, which portrayed the competition ...	1h50m	
39	Belly	1998	http://www.deadlyblogger.com/NewRelease/belly1998.mp4	mp4	https://nientepopcorn.b-cdn.net/film-img/12888-locandina-big.jpg	Inglese	Drama/Thriller	In 1999 Queens, New York City, young street criminals Tommy "Buns" Bundy (DMX) and Sincere ("Sin") (Nas), along with associates Mark and Black, murder five people during a violent nightclub robbery.	1h36m	
40	Beneath Planet Of The Apes	1970	http://www.deadlyblogger.com/NewRelease/apes2.html	mp4	https://images.squarespace-cdn.com/content/v1/57e05e534402434aa0f846c2/1499699095236-Y89FMTIS5TOI2NI56OSJ/936full-beneath-the-planet-of-the-apes-poster.jpg?format=1000w	Inglese	Sci-fi	An astronaut, on a journey to find a missing colleague, comes into contact with an underground civilization made up of humans with telepathic powers who worship a nuclear weapon.	1h35m	
41	Beneath the Planet of the Apes	1970	http://www.deadlyblogger.com/NewRelease/apes2.mp4	mp4	https://m.media-amazon.com/images/M/MV5BMjljYjY0MDktZjdlNC00ZTAxLTkzM2ItM2JjZjQ3YzQ0NzJiL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_.jpg	Inglese	Action/Adventure/Sci-Fi	The sole survivor of an interplanetary rescue mission searches for the only survivor of the previous expedition. He discovers a planet ruled by apes and an underground city run by telepathic humans.	1h35m	
42	Bewitched	2005	http://www.deadlyblogger.com/NewRelease/bewitched.mp4	mp4	https://upload.wikimedia.org/wikipedia/en/8/86/Bewitchedmovieposter.jpg	Inglese	comedy/sentimental/fantasy	Isabel Bigelow is a young witch who has decided to live a normal life, to find a job, friends and love, like ordinary mortals. One day, while in a coffee shop, she is noticed by the famous actor Jack Wyatt, enchanted by the way she wrinkles her nose, who offers her a job as an interpreter of Samantha in the remake of the TV series Vita da witch. Isabel, falling in love with the actor, accepts, but discovers that she wants to use it only to find the lost success. Eventually Jack, realizing Isabel's talent, gives her a real part; in the meantime a story arises between the two that becomes complicated when she reveals that she is actually a witch.	1h40m	
43	Blade	1998	http://www.deadlyblogger.com/NewRelease/blade1.mp4	mp4	https://mr.comingsoon.it/imgdb/locandine/big/3286.jpg	Inglese	Fantasy/Thriller	Blade, born half man and half vampire, possesses more powers than any human being or creature of darkness.	2h	
44	Blade II	2002	http://www.deadlyblogger.com/NewRelease/blade2.mp4	mp4	https://pad.mymovies.it/filmclub/2002/08/001/locandina.jpg	Inglese	Fantasy/Thriller	The vampire hunter Blade makes an alliance with his usual opponents, to fight together a powerful common enemy: Jared Nomak, of the powerful breed of reapers.	1h57m	
45	Blade III : Trinity	2004	http://www.deadlyblogger.com/NewRelease/blade3.mp4	mp4	https://upload.wikimedia.org/wikipedia/en/8/86/Blade_Trinity_poster.JPG	Inglese	Fantasy/Thriller	Vampires manage to frame Blade (battle name of their most fearful hunter), blaming him for the death of a human (a "family member" dressed up as a vampire), a killing that occurred after a car chase. Blade, filmed on television and wanted by the FBI, is tracked down in his refuge. His mentor and friend, Abraham Whistler, then detonates the entire building, sacrificing himself to protect the secrets and true identity of Blade (whose name is Eric Brooks, born of a pregnant woman, half vampire, nicknamed the "Diurnal" for its ability to withstand sunlight).	1h53m	
46	Blades of Glory	2007	http://www.deadlyblogger.com/NewRelease/glory.mp4	mp4	https://m.media-amazon.com/images/I/51JhEPw6fqL.jpg	Inglese	Sport/Comedy	Two ice skating champions, and great rivals, are disqualified from individual competitions due to a fight. In order to compete, they have only one solution: to register as a couple.	1h33m	
47	Blood In Blood Out	1993	http://www.deadlyblogger.com/NewRelease/blood.mp4	mp4	https://flxt.tmsimg.com/assets/p14530_v_v10_aa.jpg	Inglese	Crime/Drama	Based on the true life experiences of poet Jimmy Santiago Baca, the film focuses on step-brothers Paco and Cruz, and their bi-racial cousin Miklo.	3h	
48	Body Heat	1981	http://www.deadlyblogger.com/NewRelease/bodyheat1981.mp4	mp4	https://m.media-amazon.com/images/I/61mmTv6qKnL._SY445_.jpg	Inglese	Crime/Drama/Romantic	In the midst of a searing Florida heat wave, a woman persuades her lover, a small-town lawyer, to murder her rich husband.	1h53m	
49	Boogie Woggie	2012	https://archive.org/download/Woggie-CompleteMovie/ooooooooooooo1.mp4	mp4	https://i.pinimg.com/originals/18/78/56/187856e5be3859815c259f589fd76e9b.jpg	Inglese	Comedy	A man moves to Los Angeles seeking fame and fortune but ends up wearing a dinosaur costume at the Hollywood and Highland Mall taking photos with tourists for tips. After foiling the hi jacking of a Metro bus in his costume by accident a college student decides to feature the costumed hero in her final school project, a documentary.	1h44m	
50	Born to Win	1971	https://archive.org/download/BorntoWin/BorntoWin_512kb.mp4	mp4	https://m.media-amazon.com/images/M/MV5BODYwMGQwN2QtOGRlYS00N2U3LTk1MjMtZmY1OGI4OGU2YzI3XkEyXkFqcGdeQXVyMjI4MjA5MzA@._V1_.jpg	Inglese	Comedy/Crime/Drama	A smart-mouthed junkie and loser known as J.J. (George Segal) spends his days looking for just "one more fix".	1h28m	
51	Bourne 2 Supremacy	2004	http://www.deadlyblogger.com/NewRelease/bourne2.mp4	mp4	https://www.themoviedb.org/t/p/w500/7IYGiDrquvX3q7e9PV6Pejs6b2g.jpg	Inglese	thriller	Accused of murder by some CIA agents on a mission, Jason Bourne is forced to return to the field and resume his past as a trained spy to kill.	1h50m	
52	Bourne 3 Ultimatum	2007	http://www.deadlyblogger.com/NewRelease/bourne3.mp4	mp4	https://cdn.chili.com/images/public/cms/1d/7b/23/9c/1d7b239c-e135-4d16-81fa-5b23090f72d5.jpg?width=422	Inglese	Thriller	Jason Bourne is back. His anguish is always fueled by the need to know who and why has transformed him into a machine to kill by erasing his identity. Added to this is the desire to avenge the death of his partner.	1h56m	
53	Bourne 4 Legacy	2012	http://www.deadlyblogger.com/NewRelease/bourne4.mp4	mp4	https://www.themoviedb.org/t/p/original/ucqtAussxYNRw4lGvRaSbRJLskV.jpg	Inglese	Action	Outcome's agent, Aaron Cross, who survived the closure of the program, or the physical elimination of all its components, must detoxify the medicines he was forced to take to improve his physical performance.	2h15m	
54	Bourne Identity	2002	http://www.deadlyblogger.com/NewRelease/bourne1.mp4	mp4	http://3.bp.blogspot.com/-O9WR84LS724/Vx9YHXOc97I/AAAAAAAALks/hc2OIouwF-oibE0rWa9fIImWp7gmpefdQCK4B/s1600/bourne_identity_arti%2Bmarziali_film_autodifesa_combattimento.jpg	Inglese	Thriller	A man is torn from death by the intervention of the crew of an Italian fishing boat in the Mediterranean Sea and discovers that he has become the target of some hit men. Man does not remember anything about himself.	1h58m	
55	Boyz n the Hood	1991	http://www.deadlyblogger.com/NewRelease/thehood.mp4	mp4	https://m.media-amazon.com/images/M/MV5BZmRjNDI5NTgtOTIwMC00MzJhLWI4ZTYtMmU0ZTE3ZmRkZDNhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg	Inglese	Crime/Drama	Follows the lives of three young males living in the Crenshaw ghetto of Los Angeles, dissecting questions of race, relationships, violence and future prospects.	1h52m	
56	Buck Wild	2014	https://archive.org/download/BuckWild2013720p/Buck.Wild.2013.720p.BluRay.x264.YIFY.mp4	mp4	https://upload.wikimedia.org/wikipedia/en/e/e4/Buck_Wild.jpg	Inglese	Comedy/Horror	A hunting vacation goes horribly awry for 4 friends after they accidentally shoot the lease's land owner.	1h36m	
57	Bugs Bunny Road Runner Movie	1979	https://archive.org/download/Bugs_Bunny_Collection/Bugs%20Bunny%20-%20Bugs%20Bunny%20Road%20Runner%20Movie%20(1979)%20-%20[arsenaloyal].mp4	mp4	https://upload.wikimedia.org/wikipedia/en/5/56/Bugs_Bunny_Roadrunner_movie.jpg	Inglese	Animation/Comedy/Family	Bugs Bunny reflects on his past cartoon exploits.	1h38m	
58	Cabin by the Lake	2000	http://www.deadlyblogger.com/NewRelease/cabin1.mp4	mp4	https://www.filmtv.it/imgbank/GALLERYXL/R201712/cab.jpg	Inglese	Thriller/Horror	Cabin by the Lake. Cabin by the Lake is a horror TV movie released in 2000. It tells the story of Stanley, played by Judd Nelson, a script writer who begins killing girls for research for a movie he is writing, where the villain does the same thing.	1h31m	
59	Carrie	2013	http://www.deadlyblogger.com/NewRelease/carrie2013.mp4	mp4	https://ilgiornodeglizombi.files.wordpress.com/2013/12/carrie-poster-2013-locandina.jpg	Inglese	Horror	Carrie is a young girl with many complexes, who is made fun of by schoolmates and has a mother with a problematic personality. At the same time, however, she is a little girl with an extraordinary and terrifying power, which gradually transforms her into a machine of death and destruction.	1h40m	
60	Chapter 2	2013	http://www.deadlyblogger.com/NewRelease/insidious2.mp4	mp4	https://m.media-amazon.com/images/I/519r1-hz2xL._AC_.jpg	Inglese	Thriller/horror	The Lambert family is convinced that they have won the battle against evil spirits, but must soon change their mind.	1h46m	
61	Chiaroscuro Baby	2009	https://archive.org/download/ChiaroscuroBaby/ChiaroscuroBaby-1280x720_512kb.mp4	mp4	https://m.media-amazon.com/images/M/MV5BODYxNTI3ODEyNV5BMl5BanBnXkFtZTcwODkyODYxMw@@._V1_.jpg	Inglese	Drama	An aspiring painter compromises his ambition for his seductive girlfriend, only to be torn when his empowering, new muse reignites his passion.	2h7m	
62	Child's Play	1988	http://www.deadlyblogger.com/NewRelease/childsplay1.mp4	mp4	https://img-9gag-fun.9cache.com/photo/azMB6DK_460s.jpg	Inglese	horror	A single mother gives her son a much sought-after doll for his birthday, only to discover that it is possessed by the soul of a serial killer.	1h27m	
63	Child's Play 2	1990	http://www.deadlyblogger.com/NewRelease/childsplay2.mp4	mp4	https://static.wikia.nocookie.net/horrormovies/images/7/74/Childs_play_2.jpg/revision/latest/top-crop/width/360/height/450?cb=20110715024454	Inglese	horror	While Andy's mother is admitted to a psychiic hospital, the young boy is placed in foster care, and Chucky, determined to claim Andy's soul, is not far behind.	1h24m	
64	Child's Play 3	1991	http://www.deadlyblogger.com/NewRelease/childsplay3.mp4	mp4	https://www.themoviedb.org/t/p/w500/6toMk9OCuDYEEf733Bzlq3yiw3z.jpg	Inglese	horror	Chucky returns for revenge against Andy, the young boy who defeated him, and now a teenager living in a military academy.	1h30m	
65	Children of the Corn	1984	http://www.deadlyblogger.com/NewRelease/corn1984.mp4	mp4	https://horrorreviewsbythecollective.files.wordpress.com/2019/09/children-of-the-corn-59f747e584eaa.jpg?w=1000&h=1426	Inglese	Horror/Thriller	A young couple is trapped in a remote town where a dangerous religious cult of children believes that everyone over age 18 must be killed.	1h32m	
66	Children of the Corn 666 VI: Isaac's Return	1999	http://www.deadlyblogger.com/NewRelease/corn6.mp4	mp4	https://movieplayer.net-cdn.it/t/images/2003/11/20/la-locandina-di-children-of-the-corn-666-il-ritorno-di-isaac-32967_jpg_750x400_crop_q85.jpg	Inglese	Horrors	Children of the Corn 666: Isaac's Return (1999) As a teenage girl comes to Gatlin to find her biological mother, the town's infamous cult plots a comeback as their leader, Isaac, awakens from a coma.	1h22m	
67	Children of the Corn II: The Final Sacrifice	1992	http://www.deadlyblogger.com/NewRelease/corn2.mp4	mp4	https://flxt.tmsimg.com/assets/p14572_p_v13_ab.jpg	Inglese	Horror/Thriller	A journalist and his son travel to Nebraska to investigate the mysterious town of Gatlin where, unbeknownst to them, a murderous cult of children are still waiting in the corn fields	1h32m	
68	Children of the Corn III: Urban Harvest	1995	http://www.deadlyblogger.com/NewRelease/corn3.mp4	mp4	https://flxt.tmsimg.com/assets/p17220_p_v10_ac.jpg	Inglese	Horror	As a teenage girl comes to Gatlin to find her biological mother, the town's infamous cult plots a comeback as their leader, Isaac, awakens from a coma. A young couple is trapped in a remote town where a dangerous religious cult of children believes that everyone over age 18 must be killed.	1h32m	
69	Children of the Corn IV: The Gathering	1996	http://www.deadlyblogger.com/NewRelease/corn4.mp4	mp4	https://m.media-amazon.com/images/M/MV5BYWU1MWU5ZDUtNjJlNS00Y2MwLThmNjAtNTAwNjM1NDAwYTY5XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg	Inglese	Thriller/Horror	The plot follows a medical student returning to her hometown in Nebraska, where she finds the children to be falling under a mysterious mass illness connected to the town's past. The film expands upon the origins of "He Who Walks Behind the Rows".	1h25m	
