Idioma	Titolo	Anno	Genere	Numero Puntata	Titolo della puntata	Link	Info	Descrizione	Locandine	Altre info
Italiano	140 secondi	2015	Commedia	Episodio 8	#La Mia Ex	https://streamcdnm6-b70cb04c54ab478189e9d8ee45637b13.msvdn.net/dom2/podcastcdn/Rai/Ray/Ray_Ep_Generico/3907799_,250,400,700,1200,1800,2400,.mp4.csmil/playlist.m3u8?auth=daEcrd4buawcUaWbidIbub_aubOa6cMaAda-bGMzWn-c0-HmxvrEp&aifp=V001	Stagione1	In questa città ci sono 234.322 bivi stradali. Ne basta uno per trovarti di fronte la tua ex. 	https://www.raiplay.it/cropgd/300x400/dl/img/2017/05/09/1494349308181_140_v.jpg	
Italiano	140 secondi	2015	Commedia	Episodio 9	#C'èLa Crisi	https://streamcdnm2-b70cb04c54ab478189e9d8ee45637b13.msvdn.net/dom1/podcastcdn/Rai/Ray/Ray_Ep_Generico/3936825_,250,400,700,1200,1800,2400,.mp4.csmil/chunklist-f2-v1-a1.m3u8	Stagione1	Come combattere la crisi: harakiri aziendale.	https://www.raiplay.it/cropgd/300x400/dl/img/2017/05/09/1494349308181_140_v.jpg	
Italiano	20 anni prima	2013	Sentimentale	Episodio 1	Chiara	https://streamcdng61-b70cb04c54ab478189e9d8ee45637b13.msvdn.net/dom2/podcastcdn/Fiction/1697400.mp4/chunklist-v1-a1.m3u8	miniserie	Chiara In vacanza in Salento, Raoul decide di fare una sorpresa a Chiara: la conduce sul ciglio di una scogliera e le chiede di tuffarsi con lui. La ragazza, però, non sembra d'accordo e scappa via con la sua Vespa ma resta senza benzina. A soccorrerla è Edoardo, un misterioso militare che si scopre essere il fratello di Raoul. 	https://www.raiplay.it/cropgd/1200x600/dl/img/2019/11/13/1573634264810_2048x1152loghi.jpg	
Italiano	20 anni prima	2013	Sentimentale	Episodio 2	Edoardo	https://streamcdng63-b70cb04c54ab478189e9d8ee45637b13.msvdn.net/dom1/podcastcdn/Fiction/1697403.mp4/chunklist-v1-a1.m3u8	miniserie	Edoardo Edoardo è in Salento con uno scopo: cercare di convincere il fratello a non partire per l'Africa. Ma non riesce ad essere immune al fascino di Chiara. 	https://www.raiplay.it/cropgd/1200x600/dl/img/2019/11/13/1573634264810_2048x1152loghi.jpg	
Italiano	20 anni prima	2013	Sentimentale	Episodio 3	Raoul	https://streamcdng66-b70cb04c54ab478189e9d8ee45637b13.msvdn.net/dom2/podcastcdn/Fiction/1697405.mp4/chunklist-v1-a1.m3u8	miniserie	Raoul Raoul ama tantissimo la sua Chiara e con lei vuole fare il viaggio della vita per aiutare i bambini del Rwanda. Ma la ragazza è titubante sul partire o no, sopratutto dopo aver conosciuto Edoardo. 	https://www.raiplay.it/cropgd/1200x600/dl/img/2019/11/13/1573634264810_2048x1152loghi.jpg	
Italiano	20 anni prima	2013	Sentimentale	Episodio 4	Laura	https://streamcdng68-b70cb04c54ab478189e9d8ee45637b13.msvdn.net/dom2/podcastcdn/Fiction/1697407.mp4/chunklist-v1-a1.m3u8	miniserie	Laura È il compleanno di Raoul e tutti fanno festa, anche Laura, la sorella "all'antica" di Raoul e Edo. Ma il clima festaiolo è turbato dalle tensioni tra Raoul e Chiara che porta ad un furioso litigio tra i due fratelli. 	https://www.raiplay.it/cropgd/1200x600/dl/img/2019/11/13/1573634264810_2048x1152loghi.jpg	
Italiano	20 anni prima	2013	Sentimentale	Episodio 5	Edoardo	https://streamcdng69-b70cb04c54ab478189e9d8ee45637b13.msvdn.net/dom1/podcastcdn/Fiction/1697409.mp4/chunklist-v1-a1.m3u8	miniserie	Edoardo Durante la festa per il compleanno di Raoul, Edoardo Chiara si baciano. Secondo Laura, Edoardo dovrebbe andare via e lasciare in pace il fratello. Ma prima di farlo il ragazzo decide di avere un confronto con Chiara. 	https://www.raiplay.it/cropgd/1200x600/dl/img/2019/11/13/1573634264810_2048x1152loghi.jpg	
Italiano	20 anni prima	2013	Sentimentale	Episodio 6	Chiara	https://streamcdng63-b70cb04c54ab478189e9d8ee45637b13.msvdn.net/dom2/podcastcdn/Fiction/1697411.mp4/chunklist-v1-a1.m3u8	miniserie	Chiara Tra Chiara e Raoul le cose sembrano essere tornate a posto, ma la ragazza decide di confessare al suo fidanzato...	https://www.raiplay.it/cropgd/1200x600/dl/img/2019/11/13/1573634264810_2048x1152loghi.jpg	
Italiano	A.U.S. - Adotta Uno Studente	2015	Commedia	Episodio 1	1	https://uspushmp4-vh.akamaihd.net/i/VOD/Rai/Ray/Ray_Ep_Generico_NEW/4049146_,250,400,700,1200,1800,2400,.mp4.csmil/index_1_av.m3u8?null=0	Stagione1	Ecco cosa succede quando sbagli coinquilina.	https://www.raiplay.it/cropgd/1200x600/dl/img/2019/07/16/1563267313060_2048x1152.jpg	
Italiano	A.U.S. - Adotta Uno Studente	2015	Commedia	Episodio 2	2	https://uspushmp4-vh.akamaihd.net/i/VOD/Rai/Ray/Ray_Ep_Generico_NEW/4049150_,250,400,700,1200,1800,2400,.mp4.csmil/index_4_av.m3u8?null=0	Stagione1	Quando la tua coinquilina non consegna la chiave del bagno.	https://www.raiplay.it/cropgd/1200x600/dl/img/2019/07/16/1563267313060_2048x1152.jpg	
Italiano	A.U.S. - Adotta Uno Studente	2015	Commedia	Episodio 3	3	https://uspushmp4-vh.akamaihd.net/i/VOD/Rai/Ray/Ray_Ep_Generico_NEW/4049160_,250,400,700,1200,1800,2400,.mp4.csmil/index_1_av.m3u8?null=0	Stagione1	Un’improbabile festa in una chiesa ortodossa.	https://www.raiplay.it/cropgd/1200x600/dl/img/2019/07/16/1563267313060_2048x1152.jpg	
Italiano	A.U.S. - Adotta Uno Studente	2015	Commedia	Episodio 4	4	https://uspushmp4-vh.akamaihd.net/i/VOD/Rai/Ray/Ray_Ep_Generico_NEW/4049161_,250,400,700,1200,1800,2400,.mp4.csmil/index_4_av.m3u8?null=0	Stagione1	Iscriversi all’università non è mai stato così difficile.	https://www.raiplay.it/cropgd/1200x600/dl/img/2019/07/16/1563267313060_2048x1152.jpg	
Italiano	A.U.S. - Adotta Uno Studente	2015	Commedia	Episodio 5	5	https://uspushmp4-vh.akamaihd.net/i/VOD/Rai/Ray/Ray_Ep_Generico_NEW/4049172_,250,400,700,1200,1800,2400,.mp4.csmil/index_5_av.m3u8?null=0	Stagione1	Come ritrovarsi a derubare una villetta.	https://www.raiplay.it/cropgd/1200x600/dl/img/2019/07/16/1563267313060_2048x1152.jpg	
Italiano	Adriano Olivetti - La forza di un sogno	2013	Drammatico/Biografico	Episodio 1	Adriano Olivetti - La forza di un sogno Prima Puntta	https://uscreativemedia6-vh.akamaihd.net/i/podcastcdn/teche_root/PLAYRAI_TECHE_CINEMA_SD/11192644_,1200,1800,2400,.mp4.csmil/master.m3u8?auth=daEaLdUacdSbgbwdHd1cIbRc6blcGb7bJc3-bGIW7o-c0-HmxutHr&aifp=V001	Mini Serie	A dodici anni Adriano Olivetti entra come apprendista nell'azienda di macchine da scrivere del padre Camillo. Trent'anni dopo l'uomo assume la direzione della fabbrica prendendo decisioni, spesso in contrasto con il pensiero paterno, che dimostrano la sua partecipazione e il suo interesse. Il fascismo e la guerra, però, mettono tutta la sua famiglia, di origine ebrea, in grosso pericolo.	https://www.raiplay.it/cropgd/300x400/dl/img/2019/10/31/1572540394670_1536x2048-logo.jpg	
Italiano	Adriano Olivetti - La forza di un sogno	2013	Drammatico/biografico	Episodio 2	Adriano Olivetti - La forza di un sogno seconda pintata	https://b70cb04c54ab478189e9d8ee45637b13.msvdn.net/dom6/podcastcdn/teche_root/PLAYRAI_TECHE_CINEMA_SD/11192543_,1200,1800,2400,.mp4.csmil/playlist.m3u8?auth=daEcdbMcNandPapd3aeabbMdpaRchbdd8cw-bGIW8u-c0-DkzwAEq&aifp=V001	Mini Serie	Adriano decide di tornare alla guida dell'azienda pur non rinunciando al Movimento Comunità. Col suo ritorno le cose ricominciano ad andare bene per la fabbrica e per il territorio di Ivrea, tuttavia l'uomo resta sempre tormentato per la sua difficile situazione sentimentale. La storia d'amore di Olivetti con Grazia incontra molti ostacoli e il padre di lei le chiede di dimenticarla.	https://www.raiplay.it/cropgd/300x400/dl/img/2019/10/31/1572540394670_1536x2048-logo.jpg	
Italiano	Altri tempi	2013	Drammatico/In costume/biografico/Sentimentale	Episodio 1	Altri tempi 1	https://b70cb04c54ab478189e9d8ee45637b13.msvdn.net/dom2/podcastcdn/Fiction/RaiUno/Altri_tempi/1888344_,800,1800,.mp4.csmil/playlist.m3u8?auth=daEdWcWd5aBbbbVa0bqabbadAd1dQdZbTbk-bGIXae-c0-IlzxyEu&aifp=V001	Mini Serie	Torino, anni Cinquanta. Maddalena viene trovata senza vita ai piedi di una scala in una specie di albergo; il caso viene archiviato troppo frettolosamente come un incidente, finché non salta fuori una lettera…	https://www.raiplay.it/cropgd/1200x600/dl/img/2019/11/13/1573634187805_2048x1152loghi.jpg	
Italiano	Altri tempi	2013	Drammatico/in costume/biografico/Sentimentale	Episodio 2	Altri tempi 1	https://streamcdng58-b70cb04c54ab478189e9d8ee45637b13.msvdn.net/dom2/podcastcdn/Fiction/RaiUno/Altri_tempi/1891165_,800,1800,.mp4.csmil/playlist.m3u8?auth=daEdCajcbbwceavcgdCbWadcgb8cCcAdCdn-bGIXa0-c0-IjAwsFp&aifp=V001	Mini Serie	Il bordello di Maddalena è diventato famoso al punto tale che il Generale B, esponente di spicco della lobby dei tenutari delle case chiuse, invita la senatrice Merlin a visitarlo per convincerla a recedere dalla sua battaglia.	https://www.raiplay.it/cropgd/1200x600/dl/img/2019/11/13/1573634187805_2048x1152loghi.jpg	
Italiano	Angelo	2016	Docu-fiction	Episodio 1	Angelo  1	https://streamcdng59-b70cb04c54ab478189e9d8ee45637b13.msvdn.net/dom1/podcastcdn/Fiction/6130285.mp4/chunklist-v1-a1.m3u8	miniserie	Sapete cos'è la messa alla prova? Angelo ha 19 anni e vive a Lecce. Tempo fa si è messo in un brutto pasticcio, e se ora riesce a rigare dritto per 3 anni i suoi reati saranno cancellati. Ma non è così semplice.	https://www.raiplay.it/cropgd/300x400/dl/img/2019/07/16/1563267059962_1536x2048.jpg	
Italiano	Angelo	2016	Docu-fiction	Episodio 10	Angelo  10	https://streamcdng53-b70cb04c54ab478189e9d8ee45637b13.msvdn.net/dom2/podcastcdn/Fiction/6130314.mp4/chunklist-v1-a1.m3u8	miniserie	Angelo non ha mai tradito un amico, e non ha intenzione di cominciare oggi: andrà da Giuspe, costi quel che costi. 	https://www.raiplay.it/cropgd/300x400/dl/img/2019/07/16/1563267059962_1536x2048.jpg	
Italiano	Angelo	2016	Docu-fiction	Episodio 11	Angelo  11	https://streamcdng56-b70cb04c54ab478189e9d8ee45637b13.msvdn.net/dom2/podcastcdn/Fiction/6130326.mp4/chunklist-v1-a1.m3u8	miniserie	Angelo raggiunge Giuspe, che gli lascia un compito di grande responsabilità. Il giorno dell’udienza è arrivato, e con lui anche una frattura nella relazione con Monica. 	https://www.raiplay.it/cropgd/300x400/dl/img/2019/07/16/1563267059962_1536x2048.jpg	
Italiano	Angelo	2016	Docu-fiction	Episodio 12	Angelo  12	https://streamcdng52-b70cb04c54ab478189e9d8ee45637b13.msvdn.net/dom1/podcastcdn/Fiction/6130332.mp4/chunklist-v1-a1.m3u8	miniserie	Angelo riuscirà a tornare ad essere un uomo libero e a ricominciare la sua vita da zero, consapevole degli errori..	https://www.raiplay.it/cropgd/300x400/dl/img/2019/07/16/1563267059962_1536x2048.jpg	
Italiano	Angelo	2016	Docu-fiction	Episodio 2	Angelo  2	https://streamcdng62-b70cb04c54ab478189e9d8ee45637b13.msvdn.net/dom1/podcastcdn/Fiction/6130289.mp4/chunklist-v1-a1.m3u8	miniserie	In comunità si fa di tutto per vivere normalmente, ma c’è una cosa che continua a mancare: la libertà. Per Angelo sono gli ultimi giorni e Giuspe, una vecchia conoscenza, decide di rifarsi vivo. 	https://www.raiplay.it/cropgd/300x400/dl/img/2019/07/16/1563267059962_1536x2048.jpg	
Italiano	Angelo	2016	Docu-fiction	Episodio 3	Angelo  3	https://streamcdng58-b70cb04c54ab478189e9d8ee45637b13.msvdn.net/dom2/podcastcdn/Fiction/6130292.mp4/chunklist-v1-a1.m3u8	miniserie	Mancano solo 11 giorni all'udienza, ma Angelo viene a sapere che Giuspe sta morendo e vuole salutare alcuni amici prima che sia troppo tardi. Uno di questi è proprio Angelo. 	https://www.raiplay.it/cropgd/300x400/dl/img/2019/07/16/1563267059962_1536x2048.jpg	
Italiano	Angelo	2016	Docu-fiction	Episodio 4	Angelo  4	https://streamcdnm19-b70cb04c54ab478189e9d8ee45637b13.msvdn.net/dom2/podcastcdn/Fiction/6130295.mp4/chunklist-v1-a1.m3u8	miniserie	Angelo, per non compromettere la sua situazione, non può avere contatti con un pregiudicato come Giuspe. Ma la leucemia non dà scampo e non c’è tempo di aspettare il giorno dell’udienza: Angelo deve decidere cosa fare. 	https://www.raiplay.it/cropgd/300x400/dl/img/2019/07/16/1563267059962_1536x2048.jpg	
Italiano	Angelo	2016	Docu-fiction	Episodio 5	Angelo  5	https://streamcdng63-b70cb04c54ab478189e9d8ee45637b13.msvdn.net/dom2/podcastcdn/Fiction/6130298.mp4/chunklist-v1-a1.m3u8	miniserie	Lo stress per la situazione di Giuspe e i controlli intensificati sono una bomba a orologeria per l’equilibrio di Angelo. In comunità Domenico è intrattabile e il passato di Angelo riaffiora pericolosamente… 	https://www.raiplay.it/cropgd/300x400/dl/img/2019/07/16/1563267059962_1536x2048.jpg	
Italiano	Angelo	2016	Docu-fiction	Episodio 6	Angelo  6	https://streamcdng49-b70cb04c54ab478189e9d8ee45637b13.msvdn.net/dom1/podcastcdn/Fiction/6130301.mp4/chunklist-v1-a1.m3u8	miniserie	La posta in gioco è troppo alta e Angelo, in galera, non ci vuole tornare. Come se non bastasse, le cose con Monica non sembrano andare troppo a gonfie vele… 	https://www.raiplay.it/cropgd/300x400/dl/img/2019/07/16/1563267059962_1536x2048.jpg	
Italiano	Angelo	2016	Docu-fiction	Episodio 7	Angelo  7	https://streamcdng51-b70cb04c54ab478189e9d8ee45637b13.msvdn.net/dom1/podcastcdn/Fiction/6130304.mp4/chunklist-v1-a1.m3u8	miniserie	L’angoscia per la condizione di salute dell’amico e la paura della libertà sono mine che stanno per detonare nella testa di Angelo. Gli operatori fanno il possibile per mantenere l’equilibrio, ma non è una cosa facile. 	https://www.raiplay.it/cropgd/300x400/dl/img/2019/07/16/1563267059962_1536x2048.jpg	
Italiano	Angelo	2016	Docu-fiction	Episodio 8	Angelo  8	https://streamcdng55-b70cb04c54ab478189e9d8ee45637b13.msvdn.net/dom2/podcastcdn/Fiction/6130307.mp4/chunklist-v1-a1.m3u8	miniserie	Cosa vale di più: la libertà o salutare un amico che sta per morire?	https://www.raiplay.it/cropgd/300x400/dl/img/2019/07/16/1563267059962_1536x2048.jpg	
Italiano	Angelo	2016	Docu-fiction	Episodio 9	Angelo  9	https://streamcdng5-b70cb04c54ab478189e9d8ee45637b13.msvdn.net/dom2/podcastcdn/Fiction/6130310.mp4/chunklist-v1-a1.m3u8	miniserie	Non si cancella il passato da un giorno all’altro. Angelo prova a sfuggirgli, ma il ricordo di quella notte è più vivido che mai.	https://www.raiplay.it/cropgd/300x400/dl/img/2019/07/16/1563267059962_1536x2048.jpg	
Italiano	Anita Garibaldi	2012	Drammatico/in costume/Biografico	Episodio 1	Anita Garibaldi	https://uscreativemedia6-vh.akamaihd.net/i/podcastcdn/teche_root/PLAYRAI_TECHE_CINEMA_SD_3/10511123_,1200,1800,2400,.mp4.csmil/index_1_av.m3u8?null=0	Mini Serie	Ana Maria de Jesus Ribeiro da Silva vive a Laguna, una cittadina del Sud del Brasile. Le condizioni in cui versa la sua famiglia dopo la morte del padre la costringono ad accettare il matrimonio con un rozzo e violento calzolaio che la lascia per unirsi alle truppe imperiali. Quando il giovane Giuseppe Garibaldi, esiliato in Brasile con altri patrioti italiani, sbarca a Laguna per combattere con i ribelli la donna ne rimane folgorata e decide di legarsi a lui per sempre.	https://www.raiplay.it/cropgd/1200x600/dl/img/2019/07/04/1562236485154_Anita-Garibaldi2048x1152.jpg.jpg	
Italiano	Anita Garibaldi	2012	Drammatico/in costume/Biografico	Episodio 2	Anita Garibaldi	https://streamcdng57-b70cb04c54ab478189e9d8ee45637b13.msvdn.net/dom6/podcastcdn/teche_root/PLAYRAI_TECHE_CINEMA_SD_3/10511238_,1200,1800,2400,.mp4.csmil/playlist.m3u8?auth=daEc3cEdsaVb5ascWduc3a0bGc5cdaic2ct-bGIXPO-c0-FlrxzEu&aifp=V001	Mini Serie	Incaricata di portare a Roma i fondi raccolti dai patrioti del Nord, Anita riesce finalmente a riunirsi con Garibaldi. Una volta giunta in città, la donna si unisce alle patriote romane dedicandosi completamente alla causa della neonata REpubblica, non senza sentire la nostalgia per i suoi figli. Ma la situazione precipita quando i francesi, aiutati dai papisti, violano le mura e assediano Roma.	https://www.raiplay.it/cropgd/1200x600/dl/img/2019/07/04/1562236485154_Anita-Garibaldi2048x1152.jpg.jpg	
Italiano	Anna e Yusef	2015	Drammatico/Sentimentale	Episodio 1	Anna e Yusef S1E1	https://b70cb04c54ab478189e9d8ee45637b13.msvdn.net/dom1/Italy/podcastcdn/Fiction/RaiUno/Anna_e_Yusef/4430178_,800,1800,.mp4.csmil/playlist.m3u8?auth=daEbsbKbFafdgc8cgaMbcb8cgccdOcUcHdV-bGIXTR-c0-IkxvsEs&aifp=V001	Mini Serie	Anna e Yusef sono una coppia molto innamorata. Lei fisioterapista italiana, lui ingegnere tunisino, vivono a Trento con la figlia. La loro vita cambia però quando Yusef viene accusato, per errore, di associazione mafiosa: il sogno di una vita serena, dopo tanti sacrifici, sembra interrompersi . Da questo momento ha 15 giorni per evitare il rimpatrio. E la sEparazione da Anna.	https://www.raiplay.it/cropgd/1200x600/dl/img/2019/07/16/1563267135388_2048x1152.jpg	
Italiano	Anna e Yusef	2015	Drammatico/sentimentale	Episodio 2	Anna e Yusef S1E2	https://b70cb04c54ab478189e9d8ee45637b13.msvdn.net/dom2/Italy/podcastcdn/Fiction/RaiUno/Anna_e_Yusef/4434091_,800,1800,.mp4.csmil/playlist.m3u8?auth=daEbTbTa0dAdraWcud1c7ald2cecCdHd8cZ-bGIXUu-c0-FkwutHt&aifp=V001	Mini Serie	Yusef è tornato in Tunisia, dove ritrova la sua famiglia e cerca di riallacciare i rapporti col padre. Anna intanto, in Italia, scopre che il marito della sua migliore amica è quello che ha causato il suo espatrio.	https://www.raiplay.it/cropgd/1200x600/dl/img/2019/07/16/1563267135388_2048x1152.jpg	
Italiano	Anna Karenina - Lo sceneggiato		Sceneggiati	Episodio 1	Anna Karenina  - Puntata 1	https://streamcdnb6-b70cb04c54ab478189e9d8ee45637b13.msvdn.net/dom7/podcastcdn/teche_root/PLAYRAI_TECHE_CINEMA_SD_2/7936404_,1200,1800,2400,.mp4.csmil/chunklist-f3-v1-a1.m3u8	minisearie	Stiva Oblònskij attende a Mosca l'arrivo di sua sorella Anna Karenina, affinché possa convincere sua moglie Dolly a perdonargli l'ennesimo tradimento. Un amico di Stiva, Konstantin Dmitri Lvin, nel frattempo, chiede la mano a Kitty, sorella minore di Dolly, che lo rifiuta perché innamorata del giovane Vronskij. L'indomani, alla stazione, Stiva, incontra Vronskij, che attende sua madre: Anna e la contessa Vronskaja sono sullo stesso treno e Vronskij si innamora di Anna al primo sguardo. Quella stessa sera Anna è invitata a casa di Kitty per un ricevimento e danza tutta la sera con Vronskij. Quando Anna riparte da Mosca per tornare da suo figlio e suo marito incontra alla stazione Vronskij, che gli dichiara il suo amore. 	https://www.raiplay.it/cropgd/300x400/dl/img/2019/10/15/1571152250382_1536x2048logo.JPG	
Italiano	Anna Karenina - Lo sceneggiato	1974	Sceneggiati	Episodio 2	Anna Karenina - Puntata 2	https://streamcdnb9-b70cb04c54ab478189e9d8ee45637b13.msvdn.net/dom7/podcastcdn/teche_root/PLAYRAI_TECHE_CINEMA_SD_2/7923825_,1200,1800,2400,.mp4.csmil/chunklist-f1-v1-a1.m3u8	minisearie	Anna rientra a Pietroburgo con Vronskij e riprende la sua piatta vita coniugale, allietata solo dalla presenza del figlio Sergej. Vronskij rivede i suoi commilitoni, di cui tuttavia rifiuta la compagnia goliardica. Kitty, nel frattempo, per via del rifiuto di Vronskij, è caduta in depressione e, prima di partire per le terme in Germania, va a far visita a sua sorella Dolly. Lvin convince suo fratello Nicola, malato di tisi, a lasciare la Russia per tentare anch'egli delle cure termali. Anna rivede Vronskij e cerca di convincerlo a tornare da Kitty, ma Aleksei Karenin redarguisce la moglie per il suo comportamento sconveniente in società. Anna, poco dopo, inizia una relazione con Vronskij, che ben presto giunge sulla bocca di tutti: il giovane, ossessionato da Anna, vuol convincerla a lasciare il marito, ma la donna è restia per la paura di perdere suo figlio. 	https://www.raiplay.it/cropgd/300x400/dl/img/2019/10/15/1571152250382_1536x2048logo.JPG	
